date,open,high,low,close,SMA5,SMA10,SMA20,SMA60,SMA120,SMA240,volume,MA5,MA10,DIF12-26,MACD9,OSC,"K(9,3)","D(9,3)",net buy sell,cumulative net buy sell,buy,sell
1998/10/1,6760.41,6777.4,6702.06,6702.06,6862.2,6946.61,6920.11,7175.03,7526.22,8004.33,478.41,529.33,742.23,-31.58,-26.29,-5.3,0.1341,0.2795,-726000000,-27300000000,1090000000,1810000000
1998/10/2,6512.85,6537.98,6384.66,6436,6753.42,6875.25,6901.88,7148.3,7510.65,7999.3,623.29,537.65,691.59,-65.02,-34.03,-30.98,0.1136,0.2242,-786000000,-28100000000,683000000,1470000000
1998/10/3,6481.08,6623.3,6460.08,6619.97,6695.3,6834.31,6885.76,7124.51,7496.71,7994.77,711.46,591.5,638.33,-79.93,-43.21,-36.71,0.1875,0.212,-885000000,-29000000000,132000000,1020000000
1998/10/6,6506.1,6575.95,6447.56,6534.65,6625.33,6784.38,6867.77,7100.93,7481.49,7989.95,735.47,621.14,633.25,-95.29,-53.63,-41.67,0.2006,0.2082,-1720000000,-30700000000,748000000,2470000000
1998/10/7,6596.48,6674.89,6560.65,6674.89,6593.51,6755.65,6861.32,7080.83,7467.7,7985.37,770.94,663.92,625.24,-96.43,-62.19,-34.24,0.2963,0.2376,-503000000,-31200000000,1430000000,1930000000
1998/10/8,6726.12,6970.23,6726.12,6970.23,6647.15,6754.68,6867.74,7065.67,7456.4,7981.46,1272.19,822.67,676,-75.24,-64.8,-10.45,0.5309,0.3353,776000000,-30500000000,2760000000,1990000000
1998/10/9,6990.06,7064.83,6893.75,6944.17,6748.78,6751.1,6871.94,7049.7,7445.18,7978.08,1290.24,956.06,746.85,-53.6,-62.56,8.96,0.6281,0.4329,247000000,-30200000000,2090000000,1850000000
1998/10/12,7027.14,7027.14,6920.45,6920.45,6808.88,6752.09,6875.06,7033.53,7434.43,7974.58,781.06,969.98,780.74,-37.2,-57.49,20.29,0.6813,0.5157,-359000000,-30600000000,1080000000,1440000000
1998/10/13,6997.91,7023.18,6907.21,6909.22,6883.79,6754.56,6871.9,7018.18,7422.18,7971.3,966.59,1016.2,818.67,-24.71,-50.93,26.22,0.7113,0.5809,859000000,-29700000000,1810000000,946000000
1998/10/14,6857.82,6882.28,6784.14,6819.12,6912.64,6753.08,6862.83,7002.25,7410.02,7967.37,640.35,990.09,827,-23.51,-45.45,21.94,0.6871,0.6163,32000000,-29700000000,1680000000,1640000000
1998/10/15,6828.88,6839.94,6784.7,6799.88,6878.57,6762.86,6854.73,6986.74,7398.33,7963.21,542,844.05,833.36,-23.9,-41.14,17.24,0.6483,0.627,1040000000,-28600000000,2140000000,1100000000
1998/10/17,6933.78,6970.34,6901.19,6901.19,6869.97,6809.38,6842.31,6974.2,7387.56,7961.13,866.91,759.38,857.72,-14.97,-35.9,20.94,0.6772,0.6437,898000000,-27700000000,1610000000,714000000
1998/10/19,6944.14,6944.14,6887.35,6904.56,6866.79,6837.84,6836.07,6962.23,7377.04,7957.9,674.1,737.99,853.98,-8.46,-30.42,21.95,0.6788,0.6554,-45000000,-27800000000,1500000000,1550000000
1998/10/20,6875.63,6926.91,6836.52,6848.72,6854.69,6869.24,6826.81,6949.73,7366.89,7953.51,643.08,673.29,844.75,-6.85,-25.7,18.85,0.5732,0.628,718000000,-27100000000,1640000000,921000000
1998/10/21,6859.78,7021.42,6859.78,7021.42,6895.15,6903.9,6829.77,6940.2,7357.61,7949.22,965.1,738.24,864.16,3.72,-19.82,23.54,0.6639,0.64,187000000,-26900000000,2800000000,2610000000
1998/10/22,7068.03,7068.03,6965.54,6987.79,6932.74,6905.65,6830.16,6931.67,7348.04,7944.31,855.6,800.96,822.5,13.66,-13.12,26.78,0.6817,0.6539,692000000,-26200000000,2520000000,1830000000
